Data;dias_uteis;dias;dias_n_uteis;dias_uteis_ok
out/81;21;31;10;-4
nov/81;20;30;10;-5
dez/81;22;31;9;-0,5
jan/82;20;31;11;-7,5
fev/82;19;28;9;-3,5
mar/82;23;31;8;3
abr/82;20;30;10;-5
mai/82;21;31;10;-4
jun/82;21;30;9;-1,5
jul/82;22;31;9;-0,5
ago/82;22;31;9;-0,5
set/82;21;30;9;-1,5
out/82;20;31;11;-7,5
nov/82;20;30;10;-5
dez/82;23;31;8;3
jan/83;21;31;10;-4
fev/83;19;28;9;-3,5
mar/83;23;31;8;3
abr/83;19;30;11;-8,5
mai/83;22;31;9;-0,5
jun/83;21;30;9;-1,5
jul/83;21;31;10;-4
ago/83;23;31;8;3
set/83;21;30;9;-1,5
out/83;20;31;11;-7,5
nov/83;20;30;10;-5
dez/83;22;31;9;-0,5
jan/84;22;31;9;-0,5
fev/84;21;29;8;1
mar/84;21;31;10;-4
abr/84;20;30;10;-5
mai/84;22;31;9;-0,5
jun/84;20;30;10;-5
jul/84;22;31;9;-0,5
ago/84;23;31;8;3
set/84;19;30;11;-8,5
out/84;22;31;9;-0,5
nov/84;20;30;10;-5
dez/84;20;31;11;-7,5
jan/85;22;31;9;-0,5
fev/85;19;28;9;-3,5
mar/85;21;31;10;-4
abr/85;21;30;9;-1,5
mai/85;22;31;9;-0,5
jun/85;19;30;11;-8,5
jul/85;23;31;8;3
ago/85;22;31;9;-0,5
set/85;21;30;9;-1,5
out/85;23;31;8;3
nov/85;20;30;10;-5
dez/85;21;31;10;-4
jan/86;22;31;9;-0,5
fev/86;19;28;9;-3,5
mar/86;20;31;11;-7,5
abr/86;21;30;9;-1,5
mai/86;20;31;11;-7,5
jun/86;21;30;9;-1,5
jul/86;23;31;8;3
ago/86;21;31;10;-4
set/86;22;30;8;2
out/86;23;31;8;3
nov/86;20;30;10;-5
dez/86;22;31;9;-0,5
jan/87;21;31;10;-4
fev/87;20;28;8;0
